Season,Episode,Title,Year,Votes,Rating
1,1,Simpsons Roasting on an Open Fire,1989,6681,8.2
1,2,Bart the Genius,1990,4358,7.7
1,3,Homer's Odyssey,1990,3828,7.4
1,4,There's No Disgrace Like Home,1990,3785,7.7
1,5,Bart the General,1990,4054,8
1,6,Moaning Lisa,1990,3684,7.6
1,7,The Call of the Simpsons,1990,3577,7.8
1,8,The Telltale Head,1990,3444,7.7
1,9,Life on the Fast Lane,1990,3415,7.5
1,10,Homer's Night Out,1990,3296,7.4
1,11,The Crepes of Wrath,1990,3356,7.8
1,12,Krusty Gets Busted,1990,3706,8.4
1,13,Some Enchanted Evening,1990,3613,7.7
2,1,Bart Gets an F,1990,3683,8.3
2,2,Simpson and Delilah,1990,3741,8.2
2,3,Treehouse of Horror,1990,3875,8.3
2,4,Two Cars in Every Garage and Three Eyes on Every Fish,1990,3206,8.1
2,5,Dancin' Homer,1990,3049,7.4
2,6,Dead Putting Society,1990,3011,8
2,7,Bart vs. Thanksgiving,1990,2942,7.7
2,8,Bart the Daredevil,1990,3271,8.4
2,9,Itchy & Scratchy & Marge,1990,3286,8.1
2,10,Bart Gets Hit by a Car,1991,2910,7.8
2,11,One Fish Two Fish Blowfish Blue Fish,1991,3882,8.8
2,12,The Way We Was,1991,3056,8.3
2,13,Homer vs. Lisa and the 8th Commandment,1991,2860,8
2,14,Principal Charming,1991,2745,7.5
2,15,Oh Brother Where Art Thou?,1991,3068,8.3
2,16,Bart's Dog Gets an F,1991,2710,7.5
2,17,Old Money,1991,2692,7.6
2,18,Brush with Greatness,1991,2733,8
2,19,Lisa's Substitute,1991,3712,8.6
2,20,The War of the Simpsons,1991,2686,7.9
2,21,Three Men and a Comic Book,1991,3168,8.3
2,22,Blood Feud,1991,2646,7.9
3,1,Stark Raving Dad,1991,3879,8.6
3,2,Mr. Lisa Goes to Washington,1991,2783,7.8
3,3,When Flanders Failed,1991,2910,8.2
3,4,Bart the Murderer,1991,3425,8.7
3,5,Homer Defined,1991,3260,8.5
3,6,Like Father Like Clown,1991,2697,7.7
3,7,Treehouse of Horror II,1991,3034,8.3
3,8,Lisa's Pony,1991,2647,7.9
3,9,Saturdays of Thunder,1991,2635,7.9
3,10,Flaming Moe's,1991,3448,8.8
3,11,Burns Verkaufen der Kraftwerk,1991,2747,8.2
3,12,I Married Marge,1991,2646,8.3
3,13,Radio Bart,1992,2938,8.5
3,14,Lisa the Greek,1992,2534,8
